연월일,시간,공급량
2013-01-05,2,14679.050000000001
2013-01-05,3,13830.786
2013-01-05,4,14154.162
2013-01-05,5,15065.25
2013-01-05,6,15606.521999999999
2013-01-05,7,16244.346
2013-01-05,8,17821.018
2013-01-05,9,19159.938000000002
2013-01-05,10,19217.098
2013-01-05,11,18521.09
2013-01-05,12,16895.57
2013-01-05,13,15273.586
2013-01-05,14,14297.130000000001
2013-01-05,15,13596.098
2013-01-05,16,13569.002
2013-01-05,17,14407.202
2013-01-05,18,16048.834
2013-01-05,19,17407.898
2013-01-05,20,17248.41
2013-01-05,21,16856.162
2013-01-05,22,16444.721999999998
2013-01-05,23,16040.946
2013-01-05,24,15359.266
2013-01-06,1,14189.130000000001
2013-01-06,2,12820.554
2013-01-06,3,12174.754
2013-01-06,4,12529.37
2013-01-06,5,13415.706
2013-01-06,6,13757.354000000001
2013-01-06,7,14126.778
2013-01-06,8,15324.65
2013-01-06,9,16857.578
2013-01-06,10,17261.05
2013-01-06,11,16712.026
2013-01-06,12,15049.826
2013-01-06,13,13833.601999999999
2013-01-06,14,13164.442000000001
2013-01-06,15,12632.866
2013-01-06,16,12634.130000000001
2013-01-06,17,13467.13
2013-01-06,18,15442.722
2013-01-06,19,17470.082
2013-01-06,20,17405.986
2013-01-06,21,16956.122
2013-01-06,22,16602.025999999998
2013-01-06,23,16037.538
2013-01-06,24,15193.162
2013-01-07,1,13681.722
2013-01-07,2,12239.066
2013-01-07,3,11661.154
2013-01-07,4,12209.362000000001
2013-01-07,5,13403.658
2013-01-07,6,14459.178
2013-01-07,7,16440.674
2013-01-07,8,18847.938
2013-01-07,9,19347.69
2013-01-07,10,18365.386
2013-01-07,11,17267.29
2013-01-07,12,15763.882
2013-01-07,13,14603.194
2013-01-07,14,14024.418
2013-01-07,15,13305.57
2013-01-07,16,13280.266
2013-01-07,17,13952.762
2013-01-07,18,15659.386
2013-01-07,19,17369.298
2013-01-07,20,17951.514
2013-01-07,21,17740.522
2013-01-07,22,17474.514
2013-01-07,23,16743.122
2013-01-07,24,15712.074
2013-01-08,1,13934.482
2013-01-08,2,12341.634
2013-01-08,3,11574.594
2013-01-08,4,12053.274
2013-01-08,5,13126.874
2013-01-08,6,14000.41
2013-01-08,7,15742.026
2013-01-08,8,18238.962
2013-01-08,9,18569.858
2013-01-08,10,17398.178
2013-01-08,11,16272.681999999999
2013-01-08,12,14743.458
2013-01-08,13,13691.354
2013-01-08,14,13271.138
2013-01-08,15,12619.874
2013-01-08,16,12558.354
2013-01-08,17,13387.146
2013-01-08,18,15341.082
2013-01-08,19,17419.298
2013-01-08,20,18014.21
2013-01-08,21,17935.714
2013-01-08,22,17742.378
2013-01-08,23,16986.562
2013-01-08,24,16141.642
2013-01-09,1,14461.826000000001
2013-01-09,2,12795.586
2013-01-09,3,12051.098
2013-01-09,4,12581.274
2013-01-09,5,13592.65
2013-01-09,6,14470.77
2013-01-09,7,16345.338
2013-01-09,8,18972.097999999998
2013-01-09,9,19269.178
2013-01-09,10,17985.026
2013-01-09,11,16896.362
2013-01-09,12,15572.714
2013-01-09,13,14664.05
2013-01-09,14,14356.418
2013-01-09,15,13701.138
2013-01-09,16,13621.706
2013-01-09,17,14457.93
2013-01-09,18,16367.274000000001
2013-01-09,19,18584.994
2013-01-09,20,19162.37
2013-01-09,21,18969.002
2013-01-09,22,18789.37
2013-01-09,23,18127.706
2013-01-09,24,17113.818
2013-01-10,1,15394.970000000001
2013-01-10,2,13718.73
2013-01-10,3,12972.642
2013-01-10,4,13422.514
2013-01-10,5,14591.594
2013-01-10,6,15519.714
2013-01-10,7,17320.442
2013-01-10,8,19844.802
2013-01-10,9,20151.649999999998
2013-01-10,10,18684.578
2013-01-10,11,17169.906
2013-01-10,12,15937.034
2013-01-10,13,14804.714
2013-01-10,14,14352.601999999999
2013-01-10,15,13667.602
2013-01-10,16,13525.65
2013-01-10,17,14259.394
2013-01-10,18,16015.106000000002
2013-01-10,19,18072.314
2013-01-10,20,18588.354
2013-01-10,21,18499.354
2013-01-10,22,18233.154
2013-01-10,23,17568.489999999998
2013-01-10,24,16549.066000000003
2013-01-11,1,14706.674
2013-01-11,2,12985.226
2013-01-11,3,12208.954
2013-01-11,4,12615.658
2013-01-11,5,13596.594000000001
2013-01-11,6,14367.01
2013-01-11,7,16015.274
2013-01-11,8,18402.474000000002
2013-01-11,9,18756.802
2013-01-11,10,17626.898
2013-01-11,11,16466.41
2013-01-11,12,14842.082
2013-01-11,13,13714.842
2013-01-11,14,13136.658
2013-01-11,15,12391.242
2013-01-11,16,12191.306
2013-01-11,17,12959.658
2013-01-11,18,14705.602
2013-01-11,19,16564.682
2013-01-11,20,16983.922000000002
2013-01-11,21,16701.37
2013-01-11,22,16255.706
2013-01-11,23,15615.586
2013-01-11,24,14793.77
2013-01-12,1,13558.666
2013-01-12,2,11975.906
2013-01-12,3,11012.082
2013-01-12,4,11193.594000000001
2013-01-12,5,11978.298
2013-01-12,6,12250.482
2013-01-12,7,12782.33
2013-01-12,8,14178.377999999999
2013-01-12,9,15462.434000000001
2013-01-12,10,15850.498
2013-01-12,11,15453.754
2013-01-12,12,14036.442000000001
2013-01-12,13,12630.137999999999
2013-01-12,14,12021.073999999999
2013-01-12,15,11515.282
2013-01-12,16,11424.882000000001
2013-01-12,17,11888.722
2013-01-12,18,13248.426
2013-01-12,19,14770.394
2013-01-12,20,14584.802
2013-01-12,21,14256.17
2013-01-12,22,13944.394
2013-01-12,23,13656.746
2013-01-12,24,12930.066
2013-01-13,1,11985.93
2013-01-13,2,10679.634
2013-01-13,3,9973.306
2013-01-13,4,10282.05
2013-01-13,5,11075.762
2013-01-13,6,11198.137999999999
2013-01-13,7,11467.802
2013-01-13,8,12625.634
2013-01-13,9,14112.994
2013-01-13,10,14670.905999999999
2013-01-13,11,14394.938
2013-01-13,12,12856.322
2013-01-13,13,11906.09
2013-01-13,14,11473.754
2013-01-13,15,11043.594
2013-01-13,16,10861.858
2013-01-13,17,11379.786
2013-01-13,18,13155.377999999999
2013-01-13,19,14966.962
2013-01-13,20,14910.042
2013-01-13,21,14434.914
2013-01-13,22,13987.578
2013-01-13,23,13565.442
2013-01-13,24,12922.834
2013-01-14,1,11430.586
2013-01-14,2,10050.802
2013-01-14,3,9531.362
2013-01-14,4,10064.746000000001
2013-01-14,5,11239.826
2013-01-14,6,12145.61
2013-01-14,7,14203.442
2013-01-14,8,16880.994
2013-01-14,9,17354.498
2013-01-14,10,16242.57
2013-01-14,11,15408.369999999999
2013-01-14,12,14225.714
2013-01-14,13,13246.346
2013-01-14,14,12657.25
2013-01-14,15,11711.002
2013-01-14,16,11366.458
2013-01-14,17,11970.018
2013-01-14,18,13753.906
2013-01-14,19,15916.322
2013-01-14,20,16549.65
2013-01-14,21,16398.914
2013-01-14,22,16071.202000000001
2013-01-14,23,15171.514000000001
2013-01-14,24,14224.970000000001
2013-01-15,1,12558.082
2013-01-15,2,11129.33
2013-01-15,3,10397.77
2013-01-15,4,10908.634
2013-01-15,5,11964.978000000001
2013-01-15,6,12705.682
2013-01-15,7,14575.314
2013-01-15,8,17129.634000000002
2013-01-15,9,17503.898
2013-01-15,10,16213.738
2013-01-15,11,15166.217999999999
2013-01-15,12,13743.786
2013-01-15,13,12663.17
2013-01-15,14,12154.73
2013-01-15,15,11536.130000000001
2013-01-15,16,11416.274000000001
2013-01-15,17,12021.794
2013-01-15,18,13647.194000000001
2013-01-15,19,15568.65
2013-01-15,20,16190.73
2013-01-15,21,16118.386
2013-01-15,22,15936.65
2013-01-15,23,15046.482
2013-01-15,24,14118.33
2013-01-16,1,12568.706
2013-01-16,2,11026.594
2013-01-16,3,10223.146
2013-01-16,4,10580.994
2013-01-16,5,11541.306
2013-01-16,6,12159.546
2013-01-16,7,13874.45
2013-01-16,8,16317.77
2013-01-16,9,16717.322
2013-01-16,10,15847.17
2013-01-16,11,15265.41
2013-01-16,12,14083.794
2013-01-16,13,13105.226
2013-01-16,14,12560.018
2013-01-16,15,11713.146
2013-01-16,16,11710.538
2013-01-16,17,12373.954
2013-01-16,18,13968.882
2013-01-16,19,16017.914
2013-01-16,20,16644.642
2013-01-16,21,16547.13
2013-01-16,22,16516.946
2013-01-16,23,15824.73
2013-01-16,24,14939.93
2013-01-17,1,13295.418
2013-01-17,2,11724.362000000001
2013-01-17,3,10943.114
2013-01-17,4,11462.722
2013-01-17,5,12541.882
2013-01-17,6,13355.050000000001
2013-01-17,7,15178.474
2013-01-17,8,17722.226
2013-01-17,9,18059.77
2013-01-17,10,16833.962
2013-01-17,11,15887.474
2013-01-17,12,14449.89
2013-01-17,13,13392.682
2013-01-17,14,12971.066
2013-01-17,15,12344.578
2013-01-17,16,12168.601999999999
2013-01-17,17,12826.09
2013-01-17,18,14460.514
2013-01-17,19,16700.362
2013-01-17,20,17370.842
2013-01-17,21,17250.33
2013-01-17,22,16917.346
2013-01-17,23,16249.217999999999
2013-01-17,24,15394.802
2013-01-18,1,13754.106
2013-01-18,2,12198.634
2013-01-18,3,11473.89
2013-01-18,4,11996.162
2013-01-18,5,13073.234
2013-01-18,6,13898.418
2013-01-18,7,15534.546
2013-01-18,8,18160.418
2013-01-18,9,18569.298
2013-01-18,10,17035.258
2013-01-18,11,15825.642
2013-01-18,12,14234.714
2013-01-18,13,13159.01
2013-01-18,14,12658.322
2013-01-18,15,11887.41
2013-01-18,16,11738.114
2013-01-18,17,12211.762
2013-01-18,18,13709.226
2013-01-18,19,15885.586
2013-01-18,20,16312.642
2013-01-18,21,16107.042000000001
2013-01-18,22,15638.354000000001
2013-01-18,23,15031.369999999999
2013-01-18,24,14122.026
2013-01-19,1,12813.202
2013-01-19,2,11220.138
2013-01-19,3,10351.226
2013-01-19,4,10681.626
2013-01-19,5,11449.194
2013-01-19,6,11638.162
2013-01-19,7,12171.17
2013-01-19,8,13551.914
2013-01-19,9,14804.706
2013-01-19,10,14996.474
2013-01-19,11,14391.41
2013-01-19,12,12937.474
2013-01-19,13,11599.578
2013-01-19,14,10960.258
2013-01-19,15,10434.858
2013-01-19,16,10266.242
2013-01-19,17,10653.314
2013-01-19,18,12204.449999999999
2013-01-19,19,13963.466
2013-01-19,20,14074.866
2013-01-19,21,13531.258
2013-01-19,22,13174.554
2013-01-19,23,12883.666
2013-01-19,24,12364.082
2013-01-20,1,11321.362
2013-01-20,2,10078.69
2013-01-20,3,9313.834
2013-01-20,4,9590.746
2013-01-20,5,10382.274
2013-01-20,6,10476.554
2013-01-20,7,10785.37
2013-01-20,8,11969.37
2013-01-20,9,13556.586
2013-01-20,10,14028.106
2013-01-20,11,13726.874
2013-01-20,12,12340.122
2013-01-20,13,11357.146
2013-01-20,14,10827.498
2013-01-20,15,10268.634
2013-01-20,16,10320.978
2013-01-20,17,10837.338
2013-01-20,18,12251.482
2013-01-20,19,13992.842
2013-01-20,20,13988.114000000001
2013-01-20,21,13339.354
2013-01-20,22,12931.297999999999
2013-01-20,23,12207.338
2013-01-20,24,11569.81
2013-01-21,1,10119.802
2013-01-21,2,8687.354
2013-01-21,3,8057.018
2013-01-21,4,8549.234
2013-01-21,5,9638.362000000001
2013-01-21,6,10336.521999999999
2013-01-21,7,12382.882
2013-01-21,8,14922.698
2013-01-21,9,15278.962
2013-01-21,10,14502.162
2013-01-21,11,14046.626
2013-01-21,12,12926.298
2013-01-21,13,12207.65
2013-01-21,14,11909.17
2013-01-21,15,11344.346
2013-01-21,16,11149.449999999999
2013-01-21,17,11480.77
2013-01-21,18,12507.73
2013-01-21,19,13905.042
2013-01-21,20,14476.689999999999
2013-01-21,21,14319.81
2013-01-21,22,14011.738
2013-01-21,23,13035.554
2013-01-21,24,12137.218
2013-01-22,1,10555.689999999999
2013-01-22,2,9092.042
2013-01-22,3,8335.394
2013-01-22,4,8663.466
2013-01-22,5,9628.898
2013-01-22,6,10198.130000000001
2013-01-22,7,11866.122
2013-01-22,8,14302.618
2013-01-22,9,14649.41
2013-01-22,10,13594.85
2013-01-22,11,12847.602
2013-01-22,12,11671.89
2013-01-22,13,10995.73
2013-01-22,14,10507.706
2013-01-22,15,9936.026
2013-01-22,16,9791.33
2013-01-22,17,10032.993999999999
2013-01-22,18,11367.17
2013-01-22,19,13086.714
2013-01-22,20,13473.474
2013-01-22,21,13375.346
2013-01-22,22,13173.09
2013-01-22,23,12280.322
2013-01-22,24,11603.506
2013-01-23,1,10093.938
2013-01-23,2,8520.738
2013-01-23,3,7828.642
2013-01-23,4,8247.81
2013-01-23,5,9176.778
2013-01-23,6,9714.394
2013-01-23,7,11380.482
2013-01-23,8,13779.954
2013-01-23,9,14167.914
2013-01-23,10,13354.802
2013-01-23,11,12846.466
2013-01-23,12,11887.426
2013-01-23,13,11356.114
2013-01-23,14,11088.274
2013-01-23,15,10545.354
2013-01-23,16,10324.898
2013-01-23,17,10618.154
2013-01-23,18,11520.754
2013-01-23,19,13238.338
2013-01-23,20,13678.018
2013-01-23,21,13635.378
2013-01-23,22,13611.601999999999
2013-01-23,23,13014.314
2013-01-23,24,12168.762
2013-01-24,1,10774.418
2013-01-24,2,9242.673999999999
2013-01-24,3,8431.85
2013-01-24,4,8789.794
2013-01-24,5,9740.434000000001
2013-01-24,6,10235.514000000001
2013-01-24,7,11927.37
2013-01-24,8,14246.122
2013-01-24,9,14572.178
2013-01-24,10,13866.666
2013-01-24,11,13262.673999999999
2013-01-24,12,12206.826000000001
2013-01-24,13,11582.01
2013-01-24,14,11340.322
2013-01-24,15,10940.914
2013-01-24,16,10813.306
2013-01-24,17,11250.274
2013-01-24,18,12768.594
2013-01-24,19,15077.65
2013-01-24,20,16109.25
2013-01-24,21,16199.338
2013-01-24,22,16176.114
2013-01-24,23,15602.266
2013-01-24,24,14684.474
2013-01-25,1,13300.266
2013-01-25,2,11923.09
2013-01-25,3,11076.938
2013-01-25,4,11572.338
2013-01-25,5,12558.882
2013-01-25,6,13395.49
2013-01-25,7,15170.586
2013-01-25,8,17810.746
2013-01-25,9,18174.938000000002
2013-01-25,10,16967.914
2013-01-25,11,16083.074
2013-01-25,12,14792.369999999999
2013-01-25,13,13827.626
2013-01-25,14,13420.698
2013-01-25,15,12804.706
2013-01-25,16,12641.905999999999
2013-01-25,17,13265.146
2013-01-25,18,14792.738
2013-01-25,19,17000.594
2013-01-25,20,17649.05
2013-01-25,21,17440.65
2013-01-25,22,17127.514
2013-01-25,23,16589.794
2013-01-25,24,15856.609999999999
2013-01-26,1,14646.786
2013-01-26,2,13063.722
2013-01-26,3,12181.146
2013-01-26,4,12470.922
2013-01-26,5,13339.018
2013-01-26,6,13790.346
2013-01-26,7,14437.546
2013-01-26,8,16104.73
2013-01-26,9,17396.698
2013-01-26,10,17313.962
2013-01-26,11,16797.322
2013-01-26,12,15446.922
2013-01-26,13,14136.378
2013-01-26,14,13479.554
2013-01-26,15,12910.506
2013-01-26,16,12770.234
2013-01-26,17,13210.282
2013-01-26,18,14680.41
2013-01-26,19,16720.778
2013-01-26,20,16843.226
2013-01-26,21,16298.41
2013-01-26,22,15959.154
2013-01-26,23,15658.081999999999
2013-01-26,24,14984.474
2013-01-27,1,13837.634
2013-01-27,2,12459.226
2013-01-27,3,11696.242
2013-01-27,4,12080.738
2013-01-27,5,12924.682
2013-01-27,6,13162.874
2013-01-27,7,13620.258
2013-01-27,8,14927.298
2013-01-27,9,16326.154
2013-01-27,10,16407.842
2013-01-27,11,15873.986
2013-01-27,12,14415.298
2013-01-27,13,13331.69
2013-01-27,14,12859.202000000001
2013-01-27,15,12354.914
2013-01-27,16,14304.946
2013-01-27,17,12881.114
2013-01-27,18,14523.802
2013-01-27,19,16655.218
2013-01-27,20,16873.618
2013-01-27,21,16164.546
2013-01-27,22,15699.09
2013-01-27,23,15112.674
2013-01-27,24,20868.985999999997
2013-01-28,1,12825.786
2013-01-28,2,11331.289999999999
2013-01-28,3,10799.346
2013-01-28,4,11381.138
2013-01-28,5,12528.026000000002
2013-01-28,6,13488.698
2013-01-28,7,15566.297999999999
2013-01-28,8,18309.994
2013-01-28,9,18479.002
2013-01-28,10,17078.418
2013-01-28,11,16047.898
2013-01-28,12,14623.466
2013-01-28,13,13897.778
2013-01-28,14,13611.842
2013-01-28,15,12918.242
2013-01-28,16,12869.01
2013-01-28,17,13359.794
2013-01-28,18,14425.586
2013-01-28,19,16057.962
2013-01-28,20,16595.514
2013-01-28,21,16322.626
2013-01-28,22,15942.89
2013-01-28,23,14899.178
2013-01-28,24,13840.266
2013-01-29,1,12011.506
2013-01-29,2,10407.914
2013-01-29,3,9634.938
2013-01-29,4,10029.69
2013-01-29,5,10935.226
2013-01-29,6,11519.905999999999
2013-01-29,7,13329.122
2013-01-29,8,15957.186
2013-01-29,9,16094.658
2013-01-29,10,14946.29
2013-01-29,11,14312.474
2013-01-29,12,13184.37
2013-01-29,13,12412.098
2013-01-29,14,12132.066
2013-01-29,15,11409.538
2013-01-29,16,11018.218
2013-01-29,17,11387.65
2013-01-29,18,12643.026
2013-01-29,19,14277.226
2013-01-29,20,14744.65
2013-01-29,21,14616.89
2013-01-29,22,14380.722
2013-01-29,23,13442.642
2013-01-29,24,12550.25
2013-01-30,1,10888.85
2013-01-30,2,9241.114
2013-01-30,3,8501.21
2013-01-30,4,8856.354
2013-01-30,5,9809.562
2013-01-30,6,10323.802
2013-01-30,7,12146.186
2013-01-30,8,14819.282000000001
2013-01-30,9,14777.658
2013-01-30,10,13556.289999999999
2013-01-30,11,12863.01
2013-01-30,12,11640.706
2013-01-30,13,10817.714
2013-01-30,14,10182.73
2013-01-30,15,9559.898
2013-01-30,16,9352.61
2013-01-30,17,9540.970000000001
2013-01-30,18,10838.242
2013-01-30,19,12756.778
2013-01-30,20,13315.394
2013-01-30,21,13294.594
2013-01-30,22,13187.954
2013-01-30,23,12513.05
2013-01-30,24,11568.057999999999
2013-01-31,1,10151.81
2013-01-31,2,8662.05
2013-01-31,3,7908.954
2013-01-31,4,8267.681999999999
2013-01-31,5,9135.05
2013-01-31,6,9664.618
2013-01-31,7,11538.369999999999
2013-01-31,8,14347.218
2013-01-31,9,14129.314
2013-01-31,10,12641.673999999999
2013-01-31,11,11727.434
2013-01-31,12,10433.242
2013-01-31,13,9550.546
2013-01-31,14,9052.29
2013-01-31,15,8347.33
2013-01-31,16,8046.081999999999
2013-01-31,17,8437.954
2013-01-31,18,9654.562
2013-01-31,19,11497.858
2013-01-31,20,11977.914
2013-01-31,21,11947.282
2013-01-31,22,11843.898
2013-01-31,23,11201.458
2013-01-31,24,10336.89
2013-02-01,1,8840.298
2013-02-01,2,7423.282
2013-02-01,3,6773.114
2013-02-01,4,7200.746
2013-02-01,5,8202.322
2013-02-01,6,8733.866
2013-02-01,7,10521.002
2013-02-01,8,13075.514
2013-02-01,9,12743.882
2013-02-01,10,11678.018
2013-02-01,11,11318.978
2013-02-01,12,10410.514
2013-02-01,13,9892.066
2013-02-01,14,9607.954
2013-02-01,15,8957.714
2013-02-01,16,8619.594
2013-02-01,17,8786.466
2013-02-01,18,9751.202
2013-02-01,19,11128.97
2013-02-01,20,11364.858
2013-02-01,21,11301.761999999999
2013-02-01,22,11039.586
2013-02-01,23,10672.21
2013-02-01,24,10088.89
2013-02-02,1,9261.17
2013-02-02,2,8094.554
2013-02-02,3,7495.106
2013-02-02,4,7966.002
2013-02-02,5,8859.738
2013-02-02,6,9063.538
2013-02-02,7,9745.25
2013-02-02,8,11385.45
2013-02-02,9,12699.922
2013-02-02,10,12735.042
2013-02-02,11,12467.498
2013-02-02,12,11350.61
2013-02-02,13,10373.57
2013-02-02,14,9824.05
2013-02-02,15,9367.050000000001
2013-02-02,16,9178.753999999999
2013-02-02,17,9519.098
2013-02-02,18,10719.874
2013-02-02,19,12858.89
2013-02-02,20,13209.826000000001
2013-02-02,21,12767.162
2013-02-02,22,12554.042000000001
2013-02-02,23,12336.609999999999
2013-02-02,24,11768.242
2013-02-03,1,10702.738
2013-02-03,2,9451.449999999999
2013-02-03,3,8747.002
2013-02-03,4,9101.466
2013-02-03,5,9950.762
2013-02-03,6,10133.602
2013-02-03,7,10433.986
2013-02-03,8,11765.202
2013-02-03,9,13191.49
2013-02-03,10,13575.266
2013-02-03,11,13605.322
2013-02-03,12,12521.369999999999
2013-02-03,13,11642.186
2013-02-03,14,11378.73
2013-02-03,15,11219.098
2013-02-03,16,11349.474
2013-02-03,17,11867.754
2013-02-03,18,13109.562
2013-02-03,19,14429.13
2013-02-03,20,14394.17
2013-02-03,21,13896.746
2013-02-03,22,13394.034
2013-02-03,23,12781.826000000001
2013-02-03,24,11964.658
2013-02-04,1,10493.386
2013-02-04,2,9124.818
2013-02-04,3,8465.282
2013-02-04,4,8879.434
2013-02-04,5,9935.65
2013-02-04,6,10780.098
2013-02-04,7,12962.282
2013-02-04,8,15617.09
2013-02-04,9,15591.362000000001
2013-02-04,10,14341.898000000001
2013-02-04,11,13436.738
2013-02-04,12,12193.61
2013-02-04,13,11516.522
2013-02-04,14,11296.634
2013-02-04,15,10536.586
2013-02-04,16,10160.01
2013-02-04,17,10496.618
2013-02-04,18,11815.874
2013-02-04,19,14283.41
2013-02-04,20,15229.514
2013-02-04,21,15188.521999999999
2013-02-04,22,14956.93
2013-02-04,23,14072.482
2013-02-04,24,13125.506
2013-02-05,1,11503.194000000001
2013-02-05,2,10112.386
2013-02-05,3,9431.298
2013-02-05,4,9834.562
2013-02-05,5,10867.61
2013-02-05,6,11626.834
2013-02-05,7,13577.106
2013-02-05,8,16499.962
2013-02-05,9,16176.242
2013-02-05,10,14915.074
2013-02-05,11,14369.202000000001
2013-02-05,12,13140.362000000001
2013-02-05,13,12307.282
2013-02-05,14,11901.826
2013-02-05,15,11241.586
2013-02-05,16,11049.474
2013-02-05,17,11436.642
2013-02-05,18,12572.29
2013-02-05,19,14410.482
2013-02-05,20,15060.761999999999
2013-02-05,21,15066.034
2013-02-05,22,15009.242
2013-02-05,23,14166.642
2013-02-05,24,13124.386
2013-02-06,1,11508.09
2013-02-06,2,9869.898
2013-02-06,3,9058.298
2013-02-06,4,9459.362
2013-02-06,5,10427.386
2013-02-06,6,11161.305999999999
2013-02-06,7,13214.673999999999
2013-02-06,8,16222.394
2013-02-06,9,15917.818000000001
2013-02-06,10,14526.282000000001
2013-02-06,11,13782.786
2013-02-06,12,12533.274000000001
2013-02-06,13,11734.297999999999
2013-02-06,14,11715.794
2013-02-06,15,11271.706
2013-02-06,16,11096.458
2013-02-06,17,11462.378
2013-02-06,18,12880.362
2013-02-06,19,14985.562
2013-02-06,20,15703.338
2013-02-06,21,15651.09
2013-02-06,22,15633.858
2013-02-06,23,15118.562
2013-02-06,24,14403.074
2013-02-07,1,12668.217999999999
2013-02-07,2,11062.49
2013-02-07,3,10500.85
2013-02-07,4,11215.17
2013-02-07,5,12590.138
2013-02-07,6,13773.498
2013-02-07,7,15979.001999999999
2013-02-07,8,19046.674
2013-02-07,9,19019.69
2013-02-07,10,17574.714
2013-02-07,11,16763.57
2013-02-07,12,15309.202
2013-02-07,13,14491.914
2013-02-07,14,14349.057999999999
2013-02-07,15,13795.314
2013-02-07,16,13784.514
2013-02-07,17,14553.442
2013-02-07,18,16223.794
2013-02-07,19,18648.122
2013-02-07,20,19788.394
2013-02-07,21,19816.426
2013-02-07,22,19707.306
2013-02-07,23,19150.538
2013-02-07,24,18183.818
2013-02-08,1,16538.602
2013-02-08,2,14845.626
2013-02-08,3,13912.09
2013-02-08,4,14259.45
2013-02-08,5,15297.322
2013-02-08,6,16090.45
2013-02-08,7,18009.634000000002
2013-02-08,8,20703.29
2013-02-08,9,20747.818
2013-02-08,10,19225.202
2013-02-08,11,18258.49
2013-02-08,12,16843.218
2013-02-08,13,15703.81
2013-02-08,14,15161.058
2013-02-08,15,14401.61
2013-02-08,16,14027.346
2013-02-08,17,14535.706
2013-02-08,18,15853.33
2013-02-08,19,17876.554
2013-02-08,20,18492.698
2013-02-08,21,18215.138
2013-02-08,22,17601.57
2013-02-08,23,16986.738
2013-02-08,24,16065.738
2013-02-09,1,14663.137999999999
2013-02-09,2,13143.73
2013-02-09,3,12332.714
2013-02-09,4,12641.394
2013-02-09,5,13530.074
2013-02-09,6,13775.306
2013-02-09,7,14114.53
2013-02-09,8,15646.418
2013-02-09,9,17113.426
2013-02-09,10,17267.178
2013-02-09,11,16644.674
2013-02-09,12,15201.17
2013-02-09,13,14012.818
2013-02-09,14,13278.866
2013-02-09,15,12832.25
2013-02-09,16,12676.554
2013-02-09,17,12966.002
2013-02-09,18,13844.482
2013-02-09,19,15283.834
2013-02-09,20,15376.002
2013-02-09,21,14803.162
2013-02-09,22,14400.546
2013-02-09,23,14209.018
2013-02-09,24,13308.905999999999
2013-02-10,1,12006.418
2013-02-10,2,10714.522
2013-02-10,3,10081.802
2013-02-10,4,10505.434
2013-02-10,5,11317.946
2013-02-10,6,11697.25
2013-02-10,7,12753.666000000001
2013-02-10,8,14520.546
2013-02-10,9,15205.41
2013-02-10,10,14301.954
