연월일,구분,공급량
2013-01-17,D,1493.2626666666667
2013-01-17,E,3340.61
2013-01-17,G,4028.8393333333333
2013-01-17,H,579.337
2013-01-18,A,2651.2456666666667
2013-01-18,B,2193.0796666666665
2013-01-18,C,233.81133333333332
2013-01-18,D,1476.0960000000002
2013-01-18,E,3259.846
2013-01-18,G,3961.6110000000003
2013-01-18,H,566.6096666666666
2013-01-19,A,2264.6343333333334
2013-01-19,B,1898.8663333333334
2013-01-19,C,210.97799999999998
2013-01-19,D,1334.1026666666667
2013-01-19,E,2896.241666666667
2013-01-19,G,3268.3816666666667
2013-01-19,H,506.68233333333336
2013-01-20,A,2140.458
2013-01-20,B,1812.043
2013-01-20,C,202.51133333333334
2013-01-20,D,1273.596
2013-01-20,E,2779.9836666666665
2013-01-20,G,3036.9516666666664
2013-01-20,H,482.028
2013-01-21,A,2287.015
2013-01-21,B,1884.0996666666667
2013-01-21,C,203.178
2013-01-21,D,1253.426
2013-01-21,E,2797.392
2013-01-21,G,3250.0946666666664
2013-01-21,H,488.67333333333335
2013-01-22,A,2152.1349999999998
2013-01-22,B,1762.6163333333334
2013-01-22,C,190.64466666666667
2013-01-22,D,1186.9726666666668
2013-01-22,E,2589.0536666666667
2013-01-22,G,3118.9606666666664
2013-01-22,H,459.1803333333333
2013-01-23,A,2140.3703333333333
2013-01-23,B,1764.5596666666668
2013-01-23,C,191.1113333333333
2013-01-23,D,1200.6826666666668
2013-01-23,E,2595.2143333333333
2013-01-23,G,3136.0669999999996
2013-01-23,H,463.6323333333333
2013-01-24,A,2325.395
2013-01-24,B,1921.3163333333334
2013-01-24,C,203.778
2013-01-24,D,1303.9926666666668
2013-01-24,E,2839.333666666667
2013-01-24,G,3400.6363333333334
2013-01-24,H,498.9243333333333
2013-01-25,A,2772.695
2013-01-25,B,2304.7696666666666
2013-01-25,C,232.64466666666667
2013-01-25,D,1534.446
2013-01-25,E,3384.2586666666666
2013-01-25,G,3979.915333333333
2013-01-25,H,593.09
2013-01-26,A,2722.2763333333332
2013-01-26,B,2296.413
2013-01-26,C,231.7446666666667
2013-01-26,D,1562.6660000000002
2013-01-26,E,3469.181
2013-01-26,G,3890.3303333333333
2013-01-26,H,604.0806666666666
2013-01-27,A,2619.4753333333333
2013-01-27,B,2255.553
2013-01-27,C,225.7446666666667
2013-01-27,D,1530.7993333333334
2013-01-27,E,3381.0400000000004
2013-01-27,G,3958.4926666666665
2013-01-27,H,585.6463333333334
2013-01-28,A,2728.5703333333336
2013-01-28,B,2278.126333333333
2013-01-28,C,226.01133333333334
2013-01-28,D,1516.3726666666669
2013-01-28,E,3319.817333333333
2013-01-28,G,3819.73
2013-01-28,H,578.0406666666667
2013-01-29,A,2409.2436666666667
2013-01-29,B,2016.2596666666668
2013-01-29,C,202.31133333333332
2013-01-29,D,1342.2726666666665
2013-01-29,E,2891.7093333333337
2013-01-29,G,3433.5016666666666
2013-01-29,H,512.129
2013-01-30,A,2143.312
2013-01-30,B,1767.383
2013-01-30,C,185.84466666666665
2013-01-30,D,1211.6093333333333
2013-01-30,E,2577.695
2013-01-30,G,3086.9653333333335
2013-01-30,H,458.5246666666667
2013-01-31,A,1962.5123333333333
2013-01-31,B,1617.193
2013-01-31,C,173.84466666666665
2013-01-31,D,1098.9493333333332
2013-01-31,E,2329.0553333333332
2013-01-31,G,2838.759666666667
2013-01-31,H,417.2473333333333
2013-02-01,A,1869.0426666666665
2013-02-01,B,1515.1296666666667
2013-02-01,C,170.87800000000001
2013-02-01,D,1054.5026666666665
2013-02-01,E,2242.825333333333
2013-02-01,G,2670.1730000000002
2013-02-01,H,399.64900000000006
2013-02-02,A,1925.9113333333335
2013-02-02,B,1617.2263333333333
2013-02-02,C,179.778
2013-02-02,D,1126.9726666666668
2013-02-02,E,2457.638
2013-02-02,G,2907.6133333333332
2013-02-02,H,434.904
2013-02-03,A,2168.6806666666666
2013-02-03,B,1846.7763333333332
2013-02-03,C,194.678
2013-02-03,D,1286.4793333333334
2013-02-03,E,2793.166333333333
2013-02-03,G,3077.3976666666663
2013-02-03,H,491.4476666666667
2013-02-04,A,2312.119
2013-02-04,B,1892.8596666666665
2013-02-04,C,198.51133333333334
2013-02-04,D,1267.656
2013-02-04,E,2798.9426666666664
2013-02-04,G,3302.5333333333333
2013-02-04,H,498.222
2013-02-05,A,2423.321
2013-02-05,B,1977.8263333333334
2013-02-05,C,207.64466666666667
2013-02-05,D,1338.5693333333334
2013-02-05,E,2898.6776666666665
2013-02-05,G,3531.2166666666667
2013-02-05,H,514.4309999999999
2013-02-06,A,2409.6706666666664
2013-02-06,B,1956.8029999999999
2013-02-06,C,210.41133333333335
2013-02-06,D,1326.1993333333332
2013-02-06,E,2929.021
2013-02-06,G,3535.911
2013-02-06,H,521.069
2013-02-07,A,2890.780666666667
2013-02-07,B,2430.0996666666665
2013-02-07,C,246.1113333333333
2013-02-07,D,1618.3693333333333
2013-02-07,E,3604.408
2013-02-07,G,4325.943
2013-02-07,H,634.1153333333333
2013-02-08,A,3076.1920000000005
2013-02-08,B,2595.593
2013-02-08,C,259.57800000000003
2013-02-08,D,1713.8793333333333
2013-02-08,E,3866.396
2013-02-08,G,4456.093
2013-02-08,H,684.4556666666667
2013-02-09,A,2633.256
2013-02-09,B,2248.1763333333333
2013-02-09,C,227.14466666666667
2013-02-09,D,1562.2426666666668
2013-02-09,E,3437.0543333333335
2013-02-09,G,3579.7773333333334
2013-02-09,H,606.7733333333333
2013-02-10,A,2234.2726666666667
2013-02-10,B,1915.4196666666667
2013-02-10,C,201.84466666666665
2013-02-10,D,1329.8593333333333
2013-02-10,E,2967.1176666666665
2013-02-10,G,3169.0156666666667
2013-02-10,H,518.814
2013-02-11,A,2503.7386666666666
2013-02-11,B,2059.273
2013-02-11,C,213.94466666666665
2013-02-11,D,1422.9693333333335
2013-02-11,E,3214.6823333333336
2013-02-11,G,3410.913
2013-02-11,H,557.1953333333333
2013-02-12,A,2694.8136666666664
2013-02-12,B,2252.666333333333
2013-02-12,C,217.778
2013-02-12,D,1433.0693333333331
2013-02-12,E,3314.8350000000005
2013-02-12,G,3611.744
2013-02-12,H,578.529
2013-02-13,A,2532.685
2013-02-13,B,2085.503
2013-02-13,C,215.54466666666667
2013-02-13,D,1378.3326666666665
2013-02-13,E,3076.668333333333
2013-02-13,G,3571.8413333333333
2013-02-13,H,539.9296666666667
2013-02-14,A,2353.2406666666666
2013-02-14,B,1919.7996666666668
2013-02-14,C,205.21133333333333
2013-02-14,D,1292.696
2013-02-14,E,2842.67
2013-02-14,G,3409.595333333333
2013-02-14,H,496.60833333333335
2013-02-15,A,2302.2223333333336
2013-02-15,B,1875.9796666666668
2013-02-15,C,202.87800000000001
2013-02-15,D,1272.8193333333334
2013-02-15,E,2799.193333333333
2013-02-15,G,3399.2663333333335
2013-02-15,H,498.487
2013-02-16,A,2259.072333333333
2013-02-16,B,1881.6863333333333
2013-02-16,C,202.94466666666665
2013-02-16,D,1301.3793333333333
2013-02-16,E,2834.8116666666665
2013-02-16,G,3321.278
2013-02-16,H,501.4216666666667
2013-02-17,A,1990.4416666666666
2013-02-17,B,1707.1596666666667
2013-02-17,C,187.87800000000001
2013-02-17,D,1196.7393333333332
2013-02-17,E,2603.7923333333333
2013-02-17,G,2841.489
2013-02-17,H,456.5036666666667
2013-02-18,A,2183.7383333333332
2013-02-18,B,1770.9129999999998
2013-02-18,C,194.7446666666667
2013-02-18,D,1193.9593333333335
2013-02-18,E,2677.6143333333334
2013-02-18,G,3159.161
2013-02-18,H,473.1023333333333
2013-02-19,A,2371.29
2013-02-19,B,1942.043
2013-02-19,C,210.2446666666667
2013-02-19,D,1297.646
2013-02-19,E,2873.1273333333334
2013-02-19,G,3547.294
2013-02-19,H,512.4866666666667
2013-02-20,A,2523.158
2013-02-20,B,2048.376333333333
2013-02-20,C,218.84466666666665
2013-02-20,D,1376.0926666666667
2013-02-20,E,3081.027
2013-02-20,G,3533.0840000000003
2013-02-20,H,541.4233333333333
2013-02-21,A,2376.9636666666665
2013-02-21,B,1951.1363333333331
2013-02-21,C,208.54466666666667
2013-02-21,D,1305.546
2013-02-21,E,2853.6986666666667
2013-02-21,G,3491.0033333333336
2013-02-21,H,510.96700000000004
2013-02-22,A,2261.022
2013-02-22,B,1864.383
2013-02-22,C,198.6113333333333
2013-02-22,D,1257.5093333333334
2013-02-22,E,2735.767
2013-02-22,G,3396.4563333333335
2013-02-22,H,486.21000000000004
2013-02-23,A,2171.7716666666665
2013-02-23,B,1821.9496666666666
2013-02-23,C,197.87800000000001
2013-02-23,D,1261.6793333333333
2013-02-23,E,2720.9066666666668
2013-02-23,G,3212.0533333333333
2013-02-23,H,489.5586666666666
2013-02-24,A,1955.2743333333335
2013-02-24,B,1672.503
2013-02-24,C,185.21133333333333
2013-02-24,D,1167.0426666666665
2013-02-24,E,2517.2143333333333
2013-02-24,G,2794.0123333333336
2013-02-24,H,446.189
2013-02-25,A,2094.815666666667
2013-02-25,B,1693.5763333333334
2013-02-25,C,185.54466666666667
2013-02-25,D,1143.0393333333334
2013-02-25,E,2463.6926666666664
2013-02-25,G,3036.438666666667
2013-02-25,H,438.98
2013-02-26,A,1987.0420000000001
2013-02-26,B,1619.6629999999998
2013-02-26,C,182.678
2013-02-26,D,1114.856
2013-02-26,E,2380.720333333333
2013-02-26,G,2925.6620000000003
2013-02-26,H,421.71066666666667
2013-02-27,A,1869.8923333333332
2013-02-27,B,1524.5263333333332
2013-02-27,C,185.97799999999998
2013-02-27,D,1037.756
2013-02-27,E,2269.531
2013-02-27,G,2836.0623333333333
2013-02-27,H,406.8573333333333
2013-02-28,A,1785.584
2013-02-28,B,1450.2430000000002
2013-02-28,C,183.31133333333332
2013-02-28,D,1016.6193333333334
2013-02-28,E,2155.827333333333
2013-02-28,G,2707.444
2013-02-28,H,385.91366666666664
2013-03-01,A,1738.8736666666666
2013-03-01,B,1475.1563333333334
2013-03-01,C,184.21133333333333
2013-03-01,D,1033.6526666666666
2013-03-01,E,2187.730666666667
2013-03-01,G,2629.753666666667
2013-03-01,H,398.57199999999995
2013-03-02,A,1888.8509999999999
2013-03-02,B,1572.9063333333334
2013-03-02,C,190.078
2013-03-02,D,1105.1326666666666
2013-03-02,E,2363.3759999999997
2013-03-02,G,2710.3906666666667
2013-03-02,H,428.9873333333333
2013-03-03,A,1855.5929999999998
2013-03-03,B,1566.2463333333335
2013-03-03,C,189.34466666666665
2013-03-03,D,1084.0726666666667
2013-03-03,E,2348.2536666666665
2013-03-03,G,2648.1103333333335
2013-03-03,H,426.233
2013-03-04,A,2035.9633333333334
2013-03-04,B,1626.6096666666665
2013-03-04,C,191.2446666666667
2013-03-04,D,1096.8826666666666
2013-03-04,E,2316.5513333333333
2013-03-04,G,2962.656333333334
2013-03-04,H,421.8313333333333
2013-03-05,A,2042.028
2013-03-05,B,1559.1463333333334
2013-03-05,C,188.94466666666665
2013-03-05,D,1062.3793333333333
2013-03-05,E,2232.69
2013-03-05,G,3020.2296666666666
2013-03-05,H,407.7936666666667
2013-03-06,A,1829.7093333333332
2013-03-06,B,1436.6296666666667
2013-03-06,C,181.34466666666665
2013-03-06,D,996.3226666666666
2013-03-06,E,2067.933
2013-03-06,G,2778.050333333333
2013-03-06,H,379.04766666666666
2013-03-07,A,1608.7926666666665
2013-03-07,B,1341.7763333333335
2013-03-07,C,174.97799999999998
2013-03-07,D,928.5493333333334
2013-03-07,E,1923.5976666666666
2013-03-07,G,2617.984
2013-03-07,H,360.07766666666663
2013-03-08,A,1561.1703333333335
2013-03-08,B,1249.4996666666668
2013-03-08,C,172.14466666666667
2013-03-08,D,878.8760000000001
2013-03-08,E,1820.5443333333333
2013-03-08,G,2480.355666666667
2013-03-08,H,341.82733333333334
2013-03-09,A,1314.0786666666665
2013-03-09,B,1072.4596666666666
2013-03-09,C,160.84466666666665
2013-03-09,D,773.8726666666666
2013-03-09,E,1590.6816666666666
2013-03-09,G,2032.338
2013-03-09,H,298.96433333333334
2013-03-10,A,1500.5910000000001
2013-03-10,B,1256.9996666666666
2013-03-10,C,172.1113333333333
2013-03-10,D,898.0326666666666
2013-03-10,E,1925.995
2013-03-10,G,2206.695
2013-03-10,H,354.4463333333333
2013-03-11,A,1740.2696666666668
2013-03-11,B,1381.6896666666669
2013-03-11,C,180.278
2013-03-11,D,944.0593333333333
2013-03-11,E,2014.662
2013-03-11,G,2670.585
2013-03-11,H,374.039
2013-03-12,A,1633.0646666666669
2013-03-12,B,1339.893
2013-03-12,C,176.54466666666667
2013-03-12,D,931.8093333333333
2013-03-12,E,1937.4506666666666
2013-03-12,G,2626.7986666666666
2013-03-12,H,357.978
2013-03-13,A,1648.2030000000002
2013-03-13,B,1331.003
2013-03-13,C,179.578
2013-03-13,D,944.7526666666666
2013-03-13,E,1989.3253333333332
2013-03-13,G,2655.125666666667
2013-03-13,H,372.0436666666667
2013-03-14,A,1676.4053333333334
2013-03-14,B,1366.263
2013-03-14,C,180.24466666666663
2013-03-14,D,956.846
2013-03-14,E,2013.0706666666665
2013-03-14,G,2719.232
2013-03-14,H,372.685
2013-03-15,A,1650.8406666666667
2013-03-15,B,1366.153
2013-03-15,C,177.778
2013-03-15,D,944.2660000000001
2013-03-15,E,1980.8806666666667
2013-03-15,G,2727.2523333333334
2013-03-15,H,366.4313333333334
2013-03-16,A,1500.799
2013-03-16,B,1236.4596666666666
2013-03-16,C,169.64466666666667
2013-03-16,D,891.7093333333333
2013-03-16,E,1859.7259999999999
2013-03-16,G,2388.677
2013-03-16,H,344.346
2013-03-17,A,1391.618333333333
2013-03-17,B,1178.8796666666667
2013-03-17,C,165.71133333333333
2013-03-17,D,825.7726666666667
2013-03-17,E,1765.0443333333333
2013-03-17,G,2097.4206666666664
2013-03-17,H,327.67633333333333
2013-03-18,A,1437.07
2013-03-18,B,1178.0796666666668
2013-03-18,C,167.81133333333332
2013-03-18,D,819.5826666666667
2013-03-18,E,1729.7686666666666
2013-03-18,G,2333.9486666666667
2013-03-18,H,322.70133333333337
2013-03-19,A,1423.1383333333333
2013-03-19,B,1160.5863333333334
2013-03-19,C,170.47799999999998
2013-03-19,D,828.4693333333333
2013-03-19,E,1733.8223333333333
2013-03-19,G,2442.876333333333
2013-03-19,H,324.31533333333334
2013-03-20,A,1648.381666666667
2013-03-20,B,1347.523
2013-03-20,C,183.31133333333332
2013-03-20,D,963.136
2013-03-20,E,2029.4893333333332
2013-03-20,G,2697.4976666666666
2013-03-20,H,376.2823333333333
2013-03-21,A,1820.6423333333332
2013-03-21,B,1474.9363333333333
2013-03-21,C,186.578
2013-03-21,D,1018.7026666666667
2013-03-21,E,2181.191333333333
2013-03-21,G,2879.6113333333337
2013-03-21,H,400.3523333333333
2013-03-22,A,1754.737
2013-03-22,B,1440.762
2013-03-22,C,183.21133333333333
2013-03-22,D,1003.7893333333333
2013-03-22,E,2101.6363333333334
2013-03-22,G,2770.1569999999997
2013-03-22,H,390.502
2013-03-23,A,1555.2353333333333
2013-03-23,B,1304.0226666666665
2013-03-23,C,175.778
2013-03-23,D,931.0326666666666
2013-03-23,E,1996.2683333333334
2013-03-23,G,2384.5303333333336
2013-03-23,H,364.347
2013-03-24,A,1493.6123333333335
2013-03-24,B,1237.6463333333334
2013-03-24,C,171.54466666666667
2013-03-24,D,872.6026666666667
2013-03-24,E,1958.1906666666666
2013-03-24,G,2226.78
2013-03-24,H,348.036
2013-03-25,A,1732.93
2013-03-25,B,1390.763
2013-03-25,C,181.41133333333335
2013-03-25,D,948.1726666666667
2013-03-25,E,2048.8603333333335
2013-03-25,G,2753.901
2013-03-25,H,379.042
2013-03-26,A,1660.311
2013-03-26,B,1343.4043333333334
2013-03-26,C,180.87800000000001
2013-03-26,D,936.506
2013-03-26,E,1984.0649999999998
2013-03-26,G,2764.653333333333
2013-03-26,H,366.8396666666667
2013-03-27,A,1535.771
2013-03-27,B,1258.613
2013-03-27,C,175.51133333333334
2013-03-27,D,880.6293333333333
2013-03-27,E,1847.2306666666666
2013-03-27,G,2552.7419999999997
2013-03-27,H,343.6646666666666
2013-03-28,A,1519.1936666666668
2013-03-28,B,1216.363
2013-03-28,C,172.34466666666665
2013-03-28,D,872.596
2013-03-28,E,1812.1186666666665
2013-03-28,G,2514.022
2013-03-28,H,338.19
2013-03-29,A,1554.8726666666669
2013-03-29,B,1260.7263333333333
2013-03-29,C,173.07799999999997
2013-03-29,D,875.9093333333334
2013-03-29,E,1885.140666666667
2013-03-29,G,2548.808666666667
2013-03-29,H,343.02233333333334
2013-03-30,A,1498.4313333333332
2013-03-30,B,1224.003
2013-03-30,C,171.84466666666665
2013-03-30,D,886.6126666666665
2013-03-30,E,1876.0643333333335
2013-03-30,G,2372.581333333333
2013-03-30,H,347.35566666666665
2013-03-31,A,1400.3396666666667
2013-03-31,B,1169.6696666666667
2013-03-31,C,166.64466666666667
2013-03-31,D,832.736
2013-03-31,E,1777.1883333333333
2013-03-31,G,2177.9926666666665
2013-03-31,H,328.75966666666665
2013-04-01,A,1456.6583333333335
2013-04-01,B,1167.303
2013-04-01,C,166.04466666666667
2013-04-01,D,837.2226666666667
2013-04-01,E,1735.872
2013-04-01,G,2349.348
2013-04-01,H,317.63433333333336
2013-04-02,A,1477.3316666666667
2013-04-02,B,1198.1473333333333
2013-04-02,C,168.94466666666668
2013-04-02,D,861.0626666666667
2013-04-02,E,1779.2526666666665
2013-04-02,G,2449.921
2013-04-02,H,327.7563333333333
2013-04-03,A,1819.0306666666665
2013-04-03,B,1129.7263333333333
2013-04-03,C,165.84466666666665
2013-04-03,D,827.2660000000001
2013-04-03,E,1690.9560000000001
2013-04-03,G,2390.0776666666666
2013-04-03,H,314.0996666666667
2013-04-04,A,1264.6653333333334
2013-04-04,B,1023.9763333333334
2013-04-04,C,158.74466666666666
2013-04-04,D,755.8226666666666
2013-04-04,E,1503.0906666666667
2013-04-04,G,2226.6916666666666
2013-04-04,H,280.82533333333333
2013-04-05,A,1122.506
2013-04-05,B,902.9989999999999
2013-04-05,C,153.04466666666667
2013-04-05,D,675.5293333333333
2013-04-05,E,1360.311
2013-04-05,G,1963.371
2013-04-05,H,252.8083333333333
2013-04-06,A,1221.694
2013-04-06,B,991.971
2013-04-06,C,158.11133333333333
2013-04-06,D,745.196
2013-04-06,E,1558.4723333333334
2013-04-06,G,1951.0386666666666
2013-04-06,H,290.51733333333334
2013-04-07,A,1314.9703333333334
2013-04-07,B,1103.1796666666667
2013-04-07,C,159.91133333333332
2013-04-07,D,786.0193333333333
2013-04-07,E,1656.5236666666667
2013-04-07,G,1961.9936666666665
2013-04-07,H,309.032
2013-04-08,A,1428.5379999999998
2013-04-08,B,1144.3556666666666
2013-04-08,C,166.278
2013-04-08,D,821.4026666666667
2013-04-08,E,1690.9046666666666
2013-04-08,G,2360.744666666667
2013-04-08,H,316.483
2013-04-09,A,1489.3626666666667
2013-04-09,B,1195.0223333333333
2013-04-09,C,168.94466666666668
2013-04-09,D,865.5893333333333
2013-04-09,E,1750.6809999999998
2013-04-09,G,2454.895666666667
2013-04-09,H,324.5996666666667
2013-04-10,A,1555.5240000000001
2013-04-10,B,1275.656
2013-04-10,C,169.74466666666666
2013-04-10,D,918.156
2013-04-10,E,1847.037
2013-04-10,G,2562.0823333333333
2013-04-10,H,336.88100000000003
2013-04-11,A,1546.9056666666665
2013-04-11,B,1282.2203333333334
2013-04-11,C,169.91133333333332
2013-04-11,D,906.716
2013-04-11,E,1833.5093333333334
2013-04-11,G,2526.773333333333
2013-04-11,H,335.338
2013-04-12,A,1480.7893333333334
2013-04-12,B,1226.1376666666667
2013-04-12,C,166.71133333333333
2013-04-12,D,871.6626666666666
2013-04-12,E,1755.9526666666668
2013-04-12,G,2430.3430000000003
2013-04-12,H,319.8376666666667
2013-04-13,A,1262.4916666666666
2013-04-13,B,1038.8700000000001
2013-04-13,C,158.24466666666666
2013-04-13,D,773.4893333333333
2013-04-13,E,1568.3803333333333
2013-04-13,G,2020.8919999999998
2013-04-13,H,292.6376666666667
2013-04-14,A,1206.7726666666667
2013-04-14,B,1025.7396666666666
2013-04-14,C,155.078
2013-04-14,D,733.866
2013-04-14,E,1541.1993333333332
2013-04-14,G,1925.3863333333331
2013-04-14,H,284.49333333333334
2013-04-15,A,1420.4743333333333
2013-04-15,B,1134.6003333333333
2013-04-15,C,160.87800000000001
2013-04-15,D,806.9593333333333
2013-04-15,E,1693.631666666667
2013-04-15,G,2440.8593333333333
2013-04-15,H,304.623
2013-04-16,A,1177.5476666666666
2013-04-16,B,958.6023333333333
2013-04-16,C,155.41133333333332
2013-04-16,D,711.466
2013-04-16,E,1479.7586666666666
2013-04-16,G,2159.802
2013-04-16,H,267.34433333333334
2013-04-17,A,1046.345
2013-04-17,B,842.033
2013-04-17,C,148.94466666666668
2013-04-17,D,629.1560000000001
2013-04-17,E,1296.6583333333333
2013-04-17,G,1973.085
2013-04-17,H,237.78033333333335
2013-04-18,A,1057.5293333333334
2013-04-18,B,869.268
2013-04-18,C,149.11133333333333
2013-04-18,D,625.5493333333333
2013-04-18,E,1301.6846666666668
2013-04-18,G,2013.1863333333333
2013-04-18,H,240.04833333333332
2013-04-19,A,1144.4903333333334
2013-04-19,B,892.5413333333332
2013-04-19,C,152.24466666666666
2013-04-19,D,660.976
2013-04-19,E,1372.3323333333335
2013-04-19,G,2075.967666666667
2013-04-19,H,250.61066666666667
2013-04-20,A,1222.5783333333334
2013-04-20,B,993.5830000000001
2013-04-20,C,154.178
2013-04-20,D,727.456
2013-04-20,E,1559.2703333333332
2013-04-20,G,2072.483333333333
2013-04-20,H,284.71866666666665
2013-04-21,A,1129.7246666666667
2013-04-21,B,936.7663333333334
2013-04-21,C,151.278
2013-04-21,D,675.5526666666666
2013-04-21,E,1418.963
2013-04-21,G,1836.874
2013-04-21,H,268.06233333333336
2013-04-22,A,1127.8136666666667
2013-04-22,B,903.3796666666667
2013-04-22,C,160.64466666666667
2013-04-22,D,674.3793333333334
2013-04-22,E,1387.048
2013-04-22,G,2074.466
2013-04-22,H,255.16099999999997
2013-04-23,A,1170.1836666666666
2013-04-23,B,934.8396666666667
2013-04-23,C,176.47799999999998
2013-04-23,D,702.5526666666666
2013-04-23,E,1458.1673333333335
2013-04-23,G,2246.164
2013-04-23,H,266.271
2013-04-24,A,1063.5843333333335
2013-04-24,B,831.4193333333333
2013-04-24,C,168.278
2013-04-24,D,623.606
2013-04-24,E,1301.2236666666668
2013-04-24,G,2033.5383333333332
2013-04-24,H,243.84900000000002
2013-04-25,A,1143.2996666666666
2013-04-25,B,915.8763333333333
2013-04-25,C,175.7446666666667
2013-04-25,D,684.326
2013-04-25,E,1390.3293333333334
2013-04-25,G,2144.146
2013-04-25,H,264.33133333333336
2013-04-26,A,1094.1753333333334
2013-04-26,B,856.073
2013-04-26,C,167.44466666666668
2013-04-26,D,657.696
2013-04-26,E,1325.0806666666667
2013-04-26,G,2022.5666666666666
2013-04-26,H,244.13
2013-04-27,A,961.8063333333333
2013-04-27,B,779.873
2013-04-27,C,160.01133333333334
2013-04-27,D,589.5093333333333
2013-04-27,E,1193.9253333333334
2013-04-27,G,1716.0723333333335
2013-04-27,H,227.94066666666666
2013-04-28,A,857.9193333333333
2013-04-28,B,739.5363333333333
2013-04-28,C,153.278
2013-04-28,D,533.946
2013-04-28,E,1105.568
2013-04-28,G,1474.7663333333333
2013-04-28,H,208.50633333333334
2013-04-29,A,943.4883333333333
2013-04-29,B,758.2683333333333
2013-04-29,C,158.04466666666667
2013-04-29,D,558.5393333333333
2013-04-29,E,1170.1333333333334
2013-04-29,G,1769.3943333333334
2013-04-29,H,217.93200000000002
2013-04-30,A,938.8646666666667
2013-04-30,B,728.1096666666667
2013-04-30,C,158.84466666666665
2013-04-30,D,546.0526666666667
2013-04-30,E,1126.7413333333334
2013-04-30,G,1808.6223333333335
2013-04-30,H,212.29600000000002
